Subject,CERiT,Simbad,ASAS-SN Photometry
22111328,https://wasp.cerit-sc.cz/search?objid=J001024.21-101654.8&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A10%3A24.21+-10%3A16%3A54.8&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A10%3A24.21&dec=-10%3A16%3A54.8&radius=2
22507756,No match,No match,No match
22110963,https://wasp.cerit-sc.cz/search?objid=J000934.41-143037.1&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A09%3A34.41+-14%3A30%3A37.1&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A09%3A34.41&dec=-14%3A30%3A37.1&radius=2
24903551,https://wasp.cerit-sc.cz/search?objid=J004838.54%2B144938.1&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A48%3A38.54+%2B14%3A49%3A38.1&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A48%3A38.54&dec=%2B14%3A49%3A38.1&radius=2
24927626,https://wasp.cerit-sc.cz/search?objid=J005342.68-721712.5&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A53%3A42.68+-72%3A17%3A12.5&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A53%3A42.68&dec=-72%3A17%3A12.5&radius=2
24383030,https://wasp.cerit-sc.cz/search?objid=J132834.03-505005.1&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=13%3A28%3A34.03+-50%3A50%3A05.1&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=13%3A28%3A34.03&dec=-50%3A50%3A05.1&radius=2
21815062,https://wasp.cerit-sc.cz/search?objid=J003846.86%2B542100.4&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A38%3A46.86+%2B54%3A21%3A00.4&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A38%3A46.86&dec=%2B54%3A21%3A00.4&radius=2
22497806,No match,No match,No match
24917054,https://wasp.cerit-sc.cz/search?objid=J005113.24%2B284027.7&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A51%3A13.24+%2B28%3A40%3A27.7&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A51%3A13.24&dec=%2B28%3A40%3A27.7&radius=2
24618030,https://wasp.cerit-sc.cz/search?objid=J003243.73%2B250641.9&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A32%3A43.73+%2B25%3A06%3A41.9&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A32%3A43.73&dec=%2B25%3A06%3A41.9&radius=2
23097106,https://wasp.cerit-sc.cz/search?objid=J115400.99-523215.4&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11%3A54%3A00.99+-52%3A32%3A15.4&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=11%3A54%3A00.99&dec=-52%3A32%3A15.4&radius=2
24578608,https://wasp.cerit-sc.cz/search?objid=J002503.67-720931.4&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A25%3A03.67+-72%3A09%3A31.4&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A25%3A03.67&dec=-72%3A09%3A31.4&radius=2
22118907,https://wasp.cerit-sc.cz/search?objid=J003938.52%2B402415.1&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A39%3A38.52+%2B40%3A24%3A15.1&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A39%3A38.52&dec=%2B40%3A24%3A15.1&radius=2
22127249,https://wasp.cerit-sc.cz/search?objid=J004354.83%2B234757.9&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A43%3A54.83+%2B23%3A47%3A57.9&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A43%3A54.83&dec=%2B23%3A47%3A57.9&radius=2
24740850,https://wasp.cerit-sc.cz/search?objid=J010734.31-332558.3&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=01%3A07%3A34.31+-33%3A25%3A58.3&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=01%3A07%3A34.31&dec=-33%3A25%3A58.3&radius=2
24617934,https://wasp.cerit-sc.cz/search?objid=J003242.84-653508.5&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A32%3A42.84+-65%3A35%3A08.5&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A32%3A42.84&dec=-65%3A35%3A08.5&radius=2
24885126,https://wasp.cerit-sc.cz/search?objid=J004522.27%2B580646.5&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A45%3A22.27+%2B58%3A06%3A46.5&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A45%3A22.27&dec=%2B58%3A06%3A46.5&radius=2
22780093,https://wasp.cerit-sc.cz/search?objid=J092641.58-374343.4&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=09%3A26%3A41.58+-37%3A43%3A43.4&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=09%3A26%3A41.58&dec=-37%3A43%3A43.4&radius=2
24707276,https://wasp.cerit-sc.cz/search?objid=J010110.47-684307.2&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=01%3A01%3A10.47+-68%3A43%3A07.2&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=01%3A01%3A10.47&dec=-68%3A43%3A07.2&radius=2
22082395,https://wasp.cerit-sc.cz/search?objid=J130739.21%2B501705.8&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=13%3A07%3A39.21+%2B50%3A17%3A05.8&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=13%3A07%3A39.21&dec=%2B50%3A17%3A05.8&radius=2
22156661,https://wasp.cerit-sc.cz/search?objid=J121259.88-024952.5&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=12%3A12%3A59.88+-02%3A49%3A52.5&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=12%3A12%3A59.88&dec=-02%3A49%3A52.5&radius=2
24735549,https://wasp.cerit-sc.cz/search?objid=J010647.95%2B390102.1&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=01%3A06%3A47.95+%2B39%3A01%3A02.1&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=01%3A06%3A47.95&dec=%2B39%3A01%3A02.1&radius=2
24906029,https://wasp.cerit-sc.cz/search?objid=J004906.50-170222.3&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A49%3A06.50+-17%3A02%3A22.3&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A49%3A06.50&dec=-17%3A02%3A22.3&radius=2
24886198,https://wasp.cerit-sc.cz/search?objid=J004535.25%2B473758.3&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A45%3A35.25+%2B47%3A37%3A58.3&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A45%3A35.25&dec=%2B47%3A37%3A58.3&radius=2
24623667,https://wasp.cerit-sc.cz/search?objid=J003518.16%2B404547.6&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A35%3A18.16+%2B40%3A45%3A47.6&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A35%3A18.16&dec=%2B40%3A45%3A47.6&radius=2
22984415,https://wasp.cerit-sc.cz/search?objid=J103154.13-012747.9&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=10%3A31%3A54.13+-01%3A27%3A47.9&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=10%3A31%3A54.13&dec=-01%3A27%3A47.9&radius=2
24584448,https://wasp.cerit-sc.cz/search?objid=J002956.42%2B363539.5&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A29%3A56.42+%2B36%3A35%3A39.5&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A29%3A56.42&dec=%2B36%3A35%3A39.5&radius=2
22124793,https://wasp.cerit-sc.cz/search?objid=J004255.17%2B124442.1&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A42%3A55.17+%2B12%3A44%3A42.1&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A42%3A55.17&dec=%2B12%3A44%3A42.1&radius=2
24583290,https://wasp.cerit-sc.cz/search?objid=J002846.76%2B245311.2&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A28%3A46.76+%2B24%3A53%3A11.2&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A28%3A46.76&dec=%2B24%3A53%3A11.2&radius=2
22119228,https://wasp.cerit-sc.cz/search?objid=J003952.67%2B425443.2&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A39%3A52.67+%2B42%3A54%3A43.2&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A39%3A52.67&dec=%2B42%3A54%3A43.2&radius=2
24450023,https://wasp.cerit-sc.cz/search?objid=J135505.54-362217.4&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=13%3A55%3A05.54+-36%3A22%3A17.4&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=13%3A55%3A05.54&dec=-36%3A22%3A17.4&radius=2
