classification_id,user_name,user_id,workflow_id,task,created_at,subject_id,extractor,data.aggregation_version,data.frame0.T0_tool0_x,data.frame0.T0_tool0_y,data.frame0.T0_tool1_x,data.frame0.T0_tool1_y,data.frame0.T0_tool2_x,data.frame0.T0_tool2_y
103635072,pingin,320417.0,6465,T0,2018-04-26 10:06:47 UTC,20860287,point_extractor_by_frame,3.4.5,"[921.96875, 672.96875, 445.96875, 372.96875, 310.96875, 320.96875, 230.96875, 146.96875, 90.96875, 18.96875, 413.96875, 500.96875, 538.96875, 546.96875, 631.96875, 631.96875, 607.96875, 707.96875, 682.96875, 676.96875, 780.96875, 809.96875, 884.96875, 883.96875, 924.96875, 437.96875, 473.96875, 374.96875, 345.96875, 311.96875, 121.96875, 5.96875]","[368.25, 379.25, 485.25, 346.25, 353.25, 282.25, 350.25, 382.25, 493.25, 393.25, 279.25, 236.25, 189.25, 325.25, 243.25, 181.25, 149.25, 125.25, 161.25, 126.25, 114.25, 139.25, 127.25, 85.25, 118.25, 219.25, 190.25, 167.25, 193.25, 193.25, 308.25, 317.25]","[463.96875, 686.96875, 92.96875]","[550.25, 430.25, 538.25]",,
103649279,dianapenguinp,1482091.0,6465,T0,2018-04-26 12:39:22 UTC,20860287,point_extractor_by_frame,3.4.5,"[686.2659301757812, 909.8244018554688, 544.5739135742188, 450.11260986328125, 379.7914123535156, 325.2137451171875, 308.4206237792969, 231.80198669433594, 142.5885009765625, 88.01084899902344, 8.243500709533691, 408.1297912597656, 495.244140625, 632.7378540039062, 528.8303833007812, 437.51776123046875]","[343.2095031738281, 325.3667907714844, 314.87109375, 475.4553527832031, 331.6642150878906, 372.59747314453125, 297.0284118652344, 349.5069274902344, 376.7957458496094, 475.4553527832031, 356.8539123535156, 267.64044189453125, 239.30203247070312, 245.59945678710938, 189.97222900390625, 209.9140625]","[683.1172485351562, 442.765625]","[419.828125, 533.1817016601562]",,
104230938,mrcrow,1467348.0,6465,T0,2018-04-28 23:15:55 UTC,20860287,point_extractor_by_frame,3.4.5,"[919.8798217773438, 690.8303833007812, 546.614013671875, 454.71148681640625, 361.3950500488281, 314.73681640625, 235.55921936035156, 149.3122100830078, 96.99844360351562, 7.923652172088623, 13.579194068908691, 123.86226654052734, 307.6673889160156, 412.294921875, 502.7835998535156, 628.619384765625]","[363.1697692871094, 365.9975280761719, 317.9254150390625, 481.9361267089844, 364.5836486816406, 361.755859375, 356.100341796875, 388.61968994140625, 472.0389404296875, 380.1363830566406, 323.5809631347656, 315.09765625, 309.4421081542969, 271.2671813964844, 240.16171264648438, 245.8172607421875]","[682.3470458984375, 449.0559387207031, 94.17066955566406, 406.6393737792969]","[412.65576171875, 544.1470947265625, 535.663818359375, 295.3032531738281]",,
119691016,jujebot,1800356.0,6465,T0,2018-08-08 04:33:04 UTC,20860287,point_extractor_by_frame,3.4.5,"[438.443359375, 684.1141357421875, 920.8919067382812, 93.83726501464844, 144.9723663330078, 370.6337890625, 317.275390625, 231.67970275878906, 11.576454162597656]","[482.4114990234375, 376.806396484375, 350.1272277832031, 475.74169921875, 375.69476318359375, 356.7970275878906, 377.91802978515625, 350.1272277832031, 369.02496337890625]","[447.33642578125, 683.0025024414062, 102.73033142089844]","[544.6629028320312, 420.1600646972656, 534.658203125]",,
119743500,sbaugh6,1689882.0,6465,T0,2018-08-08 18:18:15 UTC,20860287,point_extractor_by_frame,3.4.5,"[450.8907470703125, 707.0636596679688, 948.5009765625, 544.9719848632812, 382.8802490234375, 327.3383483886719, 308.0686950683594, 242.32521057128906, 173.1811981201172, 141.44296264648438, 19.024045944213867, 12.222994804382324, 82.50051879882812, 635.6526489257812, 509.83319091796875, 405.5504150390625, 445.22320556640625, 478.094970703125, 526.8358154296875, 639.0531616210938, 610.7154541015625, 669.6578979492188, 714.9982299804688, 671.9249267578125, 702.5296630859375, 767.1395874023438, 796.61083984375, 846.4852294921875, 873.6893920898438, 882.7574462890625, 945.1004638671875, 374.9457092285156, 335.27288818359375, 289.93255615234375, 354.54254150390625, 259.32781982421875, 219.65504455566406]","[473.7640075683594, 375.1487731933594, 367.2142333984375, 321.8739013671875, 337.7430114746094, 369.4812316894531, 286.7351379394531, 346.8110656738281, 378.54931640625, 318.4733581542969, 374.0152893066406, 308.27178955078125, 459.0284118652344, 245.92881774902344, 235.7272491455078, 279.93408203125, 211.92356872558594, 180.18533325195312, 192.6539306640625, 176.78480529785156, 150.714111328125, 120.10939025878906, 158.648681640625, 141.6460418701172, 121.2428970336914, 106.50728607177734, 133.71148681640625, 157.51516723632812, 132.57798767089844, 81.57009887695312, 131.44447326660156, 164.31622314453125, 201.7220001220703, 198.32147216796875, 173.38427734375, 166.58323669433594, 177.91831970214844]","[454.2912902832031, 688.9275512695312]","[548.5755615234375, 432.95770263671875]",,
120693958,not-logged-in-5108f470458e321b6978,,6465,T0,2018-08-17 04:01:41 UTC,20860287,point_extractor_by_frame,3.4.5,"[461.077880859375, 116.76647186279297, 139.2215576171875, 241.01797485351562, 326.3473205566406, 375.74853515625, 303.8922424316406, 546.4072265625, 410.1796569824219, 10.479042053222656, 690.1198120117188, 923.6527709960938, 500, 630.2395629882812]","[483.4581604003906, 490.9431457519531, 377.1706848144531, 360.7036437988281, 371.1827087402344, 336.7515563964844, 303.8174133300781, 324.7754821777344, 282.8593444824219, 368.1886901855469, 381.6617126464844, 368.1886901855469, 239.44613647460938, 242.44015502929688]",,,,
121193998,Sissy69,1810753.0,6465,T0,2018-08-22 11:53:53 UTC,20860287,point_extractor_by_frame,3.4.5,"[112.12869262695312, 429.9714050292969, 687.1904907226562, 162.9176025390625]","[500.20294189453125, 501.8402404785156, 391.20770263671875, 375.6369934082031]",[590.5429077148438],[634.7067260742188],,
123116920,Janet.White,1703838.0,6465,T0,2018-09-09 21:23:12 UTC,20860287,point_extractor_by_frame,3.4.5,"[910.96875, 688.96875, 453.96875, 314.96875, 383.96875, 409.96875, 317.96875, 148.96875, 99.96875, 26.96875]","[391, 363, 475, 367, 345, 278, 294, 370, 487, 384]","[684.96875, 458.96875, 562.96875, 637.96875, 238.96875]","[420, 548, 330, 250, 367]",,
124374043,Gulnara,1802749.0,6465,T0,2018-09-21 06:59:24 UTC,20860287,point_extractor_by_frame,3.4.5,"[442.96875, 690.96875, 922.96875, 549.96875, 329.96875, 367.96875, 312.96875, 233.96875, 128.96875, 85.96875, 14.96875, 13.96875, 126.96875, 405.96875, 496.96875, 627.96875, 634.96875, 606.96875, 528.96875, 467.96875, 438.96875, 840.96875, 878.96875, 923.96875, 321.96875, 296.96875]","[484, 351, 353, 322, 370, 341, 297, 345, 388, 475, 373, 318, 310, 270, 235, 245, 168, 151, 193, 182, 210, 143, 128, 111, 193, 198]","[676.96875, 447.96875, 96.96875, 3.96875]","[420, 545, 536, 410]",,
103640944,sfujita180,1737934.0,6465,T0,2018-04-26 11:10:37 UTC,20860307,point_extractor_by_frame,3.4.5,"[693.5397338867188, 439.12274169921875, 563.258544921875, 403.47979736328125, 235.09756469726562, 112.19081115722656, 2.8038101196289062, 119.56521606445312, 532.5318603515625, 643.14794921875, 973.76708984375, 805.3848266601562, 890.1904907226562, 938.1241455078125, 983.599609375, 736.5570678710938, 693.5397338867188, 667.7293090820312, 828.5313110351562, 808.4524536132812, 696.6174926757812, 8.896219253540039, 33.314544677734375, 66.26158905029297, 66.26158905029297, 92.29595947265625, 108.03971099853516, 102.9397964477539, 120.30708312988281, 146.14874267578125, 161.58633422851562, 177.85093688964844, 189.015625, 188.87779235839844, 210.10447692871094, 287.4883728027344, 257.9915466308594, 257.71588134765625, 238.14321899414062, 223.5326385498047]","[356.4295654296875, 476.878173828125, 297.434326171875, 270.39483642578125, 339.2226257324219, 469.5037536621094, 387.15625, 294.9761962890625, 191.73452758789062, 244.5844268798828, 138.88462829589844, 142.5718231201172, 114.30327606201172, 129.0520782470703, 65.14057159423828, 131.51022338867188, 114.30327606201172, 148.7171630859375, 131.26599884033203, 120.65442657470703, 139.1288299560547, 346.3505554199219, 227.16152954101562, 189.2102813720703, 202.0539093017578, 193.3757781982422, 192.6334228515625, 185.19029235839844, 192.90908813476562, 183.47149658203125, 177.1310577392578, 181.6796417236328, 170.51495361328125, 178.23374938964844, 178.50941467285156, 170.0931396484375, 165.26889038085938, 178.63894653320312, 180.29298400878906, 174.0903778076172]","[704.601318359375, 558.34228515625, 466.1622314453125, 424.3739318847656, 233.8684844970703]","[412.9666748046875, 336.76446533203125, 553.080322265625, 551.8512573242188, 379.7818298339844]",[79.00598907470703],[532.1862182617188]
104170465,astavoe,1733009.0,6465,T0,2018-04-28 19:07:28 UTC,20860307,point_extractor_by_frame,3.4.5,"[682.6287841796875, 563.2472534179688, 440.98907470703125, 115.9261474609375, 13.804611206054688, 124.55613708496094, 233.8693389892578, 405.0307922363281, 638.04052734375, 530.1656494140625, 672.5604248046875, 806.3253173828125, 741.600341796875, 695.57373046875, 827.9002685546875, 935.775146484375, 981.8017578125, 878.2418823242188, 692.6970825195312]","[371.8087158203125, 305.64544677734375, 475.3685607910156, 486.8752136230469, 412.08197021484375, 294.1387939453125, 340.1654052734375, 274.0021667480469, 242.35885620117188, 187.7022705078125, 141.6756591796875, 138.7989959716797, 133.04566955566406, 134.48399353027344, 127.29234313964844, 125.85401153564453, 145.9906463623047, 127.29234313964844, 115.78569030761719]","[697.0120849609375, 449.61907958984375, 94.35118103027344, 238.184326171875, 558.9322509765625, 409.3457946777344, 683.6637573242188]","[412.08197021484375, 548.7235107421875, 532.90185546875, 374.68536376953125, 337.28875732421875, 298.45379638671875, 425.06982421875]",,
